                                  T  
                                  W  
       L                Q     N   O  
       O L          N   U     I   _  
       A O          I   A   D C D D  
       D A  N       C D R   I K I I  
       _ D  I       K I T   S E M M  
       C _  C  D    E M E E P L E E E
   T   O C  K  I  C L E R M E _ _ _ X
   I R I A  E  M  A _ _ _ P N O O O A
   M S N N  L  E  N I I I T S U U U C
   E T S S  S  S  S N N N Y E T T T T
   = = = =  =  =  = = = = = = = = = =
 0.0 x x x xx xx xx x x x x 0 0 0 0 x
 0.5 1 0 0 xx xx xx 0 0 0 x 0 0 0 0 x
 1.0 1 0 0 xx xx xx 0 0 0 1 0 0 0 0 1
 1.5 0 0 0 xx xx xx 0 0 0 1 0 0 0 0 1
 2.5 0 0 1 xx xx 01 0 0 0 1 0 0 0 0 1
 3.0 0 0 1 xx xx 01 0 0 0 0 0 0 0 0 1
 3.5 0 0 0 xx xx 01 0 0 0 0 0 0 0 0 1
 4.5 0 0 0 xx xx 01 0 0 1 0 0 0 0 0 1
 5.5 0 0 0 xx xx 01 0 0 0 0 0 0 0 0 1
 6.5 0 0 0 xx xx 01 0 0 1 0 0 0 0 0 1
 7.0 0 0 0 xx xx 01 0 0 1 1 1 0 0 0 1
 7.5 0 0 0 xx xx 01 0 0 0 1 1 0 0 0 1
 8.0 0 0 0 xx xx 01 0 0 0 1 0 0 0 0 1
 8.5 1 0 0 xx xx 01 0 0 0 1 0 0 0 0 1
 9.5 0 0 0 xx xx 01 0 0 0 1 0 0 0 0 1
10.5 0 0 1 xx xx 01 0 0 0 1 0 0 0 0 1
11.0 0 0 1 xx xx 01 0 0 0 0 0 0 0 0 1
11.5 0 0 0 xx xx 01 0 0 0 0 0 0 0 0 1
12.5 0 1 0 01 02 01 0 0 0 0 0 0 0 0 1
13.0 0 1 0 01 02 01 0 0 0 0 0 0 0 0 0
13.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 0
14.5 0 0 0 01 02 01 0 1 0 0 0 0 0 0 0
15.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 0
16.5 0 0 0 01 02 01 0 1 0 0 0 0 0 0 0
17.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 0
18.5 0 0 0 01 02 01 0 1 0 0 0 0 0 0 0
19.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 0
20.5 0 0 0 01 02 01 0 0 1 0 0 0 0 0 0
21.0 0 0 0 01 02 01 0 0 1 1 1 1 0 0 1
21.5 0 0 0 01 02 01 0 0 0 1 1 1 0 0 1
22.0 0 0 0 01 02 01 0 0 0 1 0 0 0 0 1
22.5 1 0 0 01 02 01 0 0 0 1 0 0 0 0 1
23.5 0 0 0 01 02 01 0 0 0 1 0 0 0 0 1
24.5 0 0 1 01 02 01 0 0 0 1 0 0 0 0 1
25.0 0 0 1 01 02 01 0 0 0 0 0 0 0 0 1
25.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 1
26.5 0 1 0 01 02 01 0 0 0 0 0 0 0 0 1
27.0 0 1 0 01 02 01 0 0 0 0 0 0 0 0 0
27.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 0
28.5 0 0 0 01 02 01 0 1 0 0 0 0 0 0 0
29.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 0
30.5 0 0 0 01 02 01 0 0 1 0 0 0 0 0 0
31.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 0
32.5 0 0 0 01 02 01 0 0 1 0 0 0 0 0 0
33.0 0 0 0 01 02 01 0 0 1 1 1 0 1 0 1
33.5 0 0 0 01 02 01 0 0 0 1 1 0 1 0 1
34.0 0 0 0 01 02 01 0 0 0 1 0 0 0 0 1
34.5 1 0 0 01 02 01 0 0 0 1 0 0 0 0 1
35.5 0 0 0 01 02 01 0 0 0 1 0 0 0 0 1
36.5 0 0 1 01 02 01 0 0 0 1 0 0 0 0 1
37.0 0 0 1 01 02 01 0 0 0 0 0 0 0 0 1
37.5 0 0 0 01 02 01 0 0 0 0 0 0 0 0 1
38.5 0 1 0 02 03 01 0 0 0 0 0 0 0 0 1
39.0 0 1 0 02 03 01 0 0 0 0 0 0 0 0 0
